기업이름,분야,평점,연봉,2차산업군
성우전기 ,건설업,2.9,2826,건설업
시재건설(주) ,건설업,2.8,3057,건설업
씨앤티85(주) ,건설업,2.8,3083,건설업
익스앤(주) ,건설업,2.7,2590,건설업
익진엔지니어링(주) ,건설업,2.6,3294,건설업
전남개발공사 ,건설업,3.7,0,건설업
지오인터내셔널(주) ,건설업,2.8,3063,건설업
코리아테크(주) ,건설업,2.4,4226,건설업
태성종합기술(주) ,건설업,2.6,3456,건설업
한국기술벤처재단 ,건설업,2.5,5969,건설업
(주)나로이엔씨 ,건설업,2.6,2876,건설업
(주)브라운스톤 ,건설업,3.1,4000,건설업
(주)씨투디자인 ,건설업,3.5,3033,건설업
(주)제이스코리아 ,건설업,2.8,4243,건설업
(주)한울씨앤비 ,건설업,4.3,4790,건설업
동양구조안전기술(주) ,건설업,3.2,3915,건설업
리스피엔씨 ,건설업,2.6,2621,건설업
메트로컴넷(주) ,건설업,3.0,3399,건설업
비츠로웨텍(주) ,건설업,2.2,3413,건설업
